city,date,temp,o3,dewpoint,pm10,season,yday,month,month_numeric,year
chic,3/31/1997,38.5,25.24,22,19.66,Winter,90,Mar,3,1997
chic,1997/01/04,44.5,14.06,28.13,59.72,Spring,91,Apr,4,1997
chic,1997/02/04,53,11.67,29.88,61.74,Spring,92,Apr,4,1997
chic,1997/03/04,59.5,10.75,49.88,42.62,Spring,93,Apr,4,1997
chic,1997/04/04,62.5,28.97,48.25,50.95,Spring,94,Apr,4,1997
chic,1997/05/04,60.5,26.13,54.38,18.4,Spring,95,Apr,4,1997
chic,1997/06/04,45,26.79,21.75,30.38,Spring,96,Apr,4,1997
chic,1997/07/04,34,25.26,18.38,20.16,Spring,97,Apr,4,1997
chic,1997/08/04,28.5,20.04,9.25,12.21,Spring,98,Apr,4,1997
chic,1997/09/04,30,20.74,18.88,13.04,Spring,99,Apr,4,1997
chic,1997/10/04,30.5,20.5,22,25.17,Spring,100,Apr,4,1997
chic,1997/11/04,33.5,23.5,32,19.92,Spring,101,Apr,4,1997
chic,1997/12/04,33.5,20.77,30.38,12.03,Spring,102,Apr,4,1997
chic,4/13/1997,38.5,26.7,24.63,10.22,Spring,103,Apr,4,1997
chic,4/14/1997,41.5,16.6,28.13,50.13,Spring,104,Apr,4,1997
chic,4/15/1997,49,26.2,36.25,74.15,Spring,105,Apr,4,1997
chic,4/16/1997,43,20.3,25.63,24.43,Spring,106,Apr,4,1997
chic,4/17/1997,40.5,17.01,25.75,12.27,Spring,107,Apr,4,1997
chic,4/18/1997,40,11.74,34.75,39.27,Spring,108,Apr,4,1997
chic,4/19/1997,45.5,22.38,30.88,32.28,Spring,109,Apr,4,1997
chic,4/20/1997,49,22.09,42.25,30.36,Spring,110,Apr,4,1997
chic,4/21/1997,45,32.81,31,16.41,Spring,111,Apr,4,1997
chic,4/22/1997,43,28.01,33.63,14.83,Spring,112,Apr,4,1997
chic,4/23/1997,48.5,25.39,34,5.57,Spring,113,Apr,4,1997
chic,4/24/1997,47.5,21.57,36.5,7.48,Spring,114,Apr,4,1997
chic,4/25/1997,48,23.19,27.75,22.49,Spring,115,Apr,4,1997
chic,4/26/1997,49.5,21.3,24.25,35.49,Spring,116,Apr,4,1997
chic,4/27/1997,47.5,27.48,40.25,23.57,Spring,117,Apr,4,1997
chic,4/28/1997,50.5,18.51,40.75,61.23,Spring,118,Apr,4,1997
chic,4/29/1997,60,33.29,45.25,91.57,Spring,119,Apr,4,1997
chic,4/30/1997,55,22.82,50,47.56,Spring,120,Apr,4,1997
chic,1997/01/05,48.5,18.89,36.88,15.56,Spring,121,May,5,1997
chic,1997/02/05,48.5,8.9,45.5,31.59,Spring,122,May,5,1997
chic,1997/03/05,49,20.44,40.38,11.62,Spring,123,May,5,1997
chic,1997/04/05,51.5,28.13,33.25,19.25,Spring,124,May,5,1997
chic,1997/05/05,62,28.53,38.88,77.69,Spring,125,May,5,1997
chic,1997/06/05,55.5,21.81,35,24.78,Spring,126,May,5,1997
chic,1997/07/05,52.5,19.12,49.25,37.67,Spring,127,May,5,1997
chic,1997/08/05,61,27.42,42.75,26.68,Spring,128,May,5,1997
chic,1997/09/05,50.5,20.02,36,12.69,Spring,129,May,5,1997
chic,1997/10/05,52.5,20.5,32.63,27.26,Spring,130,May,5,1997
chic,1997/11/05,59.5,25.81,43.88,26.69,Spring,131,May,5,1997
chic,1997/12/05,52.5,24.83,32.5,29.67,Spring,132,May,5,1997
chic,5/13/1997,45.5,16.77,38.75,22.81,Spring,133,May,5,1997
chic,5/14/1997,49.5,10.96,40.63,32.78,Spring,134,May,5,1997
chic,5/15/1997,45,12.32,35.5,7.75,Spring,135,May,5,1997
chic,5/16/1997,51,20.18,41.38,35.04,Spring,136,May,5,1997
chic,5/17/1997,50.5,27.88,38.25,19.85,Spring,137,May,5,1997
chic,5/18/1997,59.5,23.02,63.88,33.91,Spring,138,May,5,1997
chic,5/19/1997,54,17.89,42.38,20.95,Spring,139,May,5,1997
chic,5/20/1997,51.5,16.3,38.13,25.95,Spring,140,May,5,1997
chic,5/21/1997,48,18.67,34.38,10.9,Spring,141,May,5,1997
chic,5/22/1997,50.5,18.69,34.63,29.99,Spring,142,May,5,1997
chic,5/23/1997,58,23.63,40.75,35.8,Spring,143,May,5,1997
chic,5/24/1997,68.5,38.76,56.13,61.78,Spring,144,May,5,1997
chic,5/25/1997,50,35.8,44.5,21.84,Spring,145,May,5,1997
chic,5/26/1997,50,30.91,35.88,4.85,Spring,146,May,5,1997
chic,5/27/1997,56,28.04,39.38,25.74,Spring,147,May,5,1997
chic,5/28/1997,58.5,18.7,56.88,30.26,Spring,148,May,5,1997
chic,5/29/1997,58,15.66,50.75,21.71,Spring,149,May,5,1997
chic,5/30/1997,61,26.72,51.75,25.71,Spring,150,May,5,1997
chic,5/31/1997,59,35.44,53.38,20.63,Spring,151,May,5,1997
chic,1997/01/06,60.5,42.33,51.25,15.52,Spring,152,Jun,6,1997
chic,1997/02/06,58,28.2,54.5,17.55,Spring,153,Jun,6,1997
chic,1997/03/06,61.5,28.85,52.63,25.81,Spring,154,Jun,6,1997
chic,1997/04/06,59,28.58,47.5,28.53,Spring,155,Jun,6,1997
chic,1997/05/06,62,29.24,56,47.61,Spring,156,Jun,6,1997
chic,1997/06/06,63.5,22.37,58.75,47.64,Spring,157,Jun,6,1997
chic,1997/07/06,58.5,19.64,55.38,14.57,Spring,158,Jun,6,1997
chic,1997/08/06,61,39.02,48.63,19.6,Spring,159,Jun,6,1997
chic,1997/09/06,62.5,39.51,51.75,34.12,Spring,160,Jun,6,1997
chic,1997/10/06,66.5,39.05,53.88,47.53,Spring,161,Jun,6,1997
chic,1997/11/06,67.5,18.85,63.13,54.62,Spring,162,Jun,6,1997
chic,1997/12/06,70,18.51,63.63,56.75,Spring,163,Jun,6,1997
chic,6/13/1997,71,27.04,52,39.75,Spring,164,Jun,6,1997
chic,6/14/1997,56.5,19.26,41.88,8.81,Spring,165,Jun,6,1997
chic,6/15/1997,63,33.16,59.75,32.28,Spring,166,Jun,6,1997
chic,6/16/1997,67,30.48,53.38,23.8,Spring,167,Jun,6,1997
chic,6/17/1997,60.5,21.38,50.38,23.75,Spring,168,Jun,6,1997
chic,6/18/1997,67,29.43,61.13,48.67,Spring,169,Jun,6,1997
chic,6/19/1997,70,30.17,65.88,56.84,Spring,170,Jun,6,1997
chic,6/20/1997,81.5,38.25,72.88,74.78,Spring,171,Jun,6,1997
chic,6/21/1997,75.5,28.11,64.75,26.78,Spring,172,Jun,6,1997
chic,6/22/1997,77,35.93,66.88,21.05,Spring,173,Jun,6,1997
chic,6/23/1997,82.5,27.36,69.63,68.2,Spring,174,Jun,6,1997
chic,6/24/1997,84,30.2,60,123.43,Spring,175,Jun,6,1997
chic,6/25/1997,78,27.65,62.75,37.52,Spring,176,Jun,6,1997
chic,6/26/1997,73.5,28.03,55.25,25.68,Spring,177,Jun,6,1997
chic,6/27/1997,72.5,29.84,59,43.91,Spring,178,Jun,6,1997
chic,6/28/1997,74,44.34,62,46.73,Spring,179,Jun,6,1997
chic,6/29/1997,75,54.69,65.25,60.94,Spring,180,Jun,6,1997
chic,6/30/1997,76,18.08,69.25,34.95,Spring,181,Jun,6,1997
chic,1997/01/07,77.5,36.38,68.63,45.99,Summer,182,Jul,7,1997
chic,1997/02/07,79.5,28.56,55.75,58.03,Summer,183,Jul,7,1997
chic,1997/03/07,68.5,16.66,54.25,23.39,Summer,184,Jul,7,1997
chic,1997/04/07,61.5,9.15,51.88,10.03,Summer,185,Jul,7,1997
chic,1997/05/07,65.5,19.71,50.75,15.04,Summer,186,Jul,7,1997
chic,1997/06/07,70,30.28,57.75,18.2,Summer,187,Jul,7,1997
chic,1997/07/07,65.5,25.31,52.5,21.05,Summer,188,Jul,7,1997
chic,1997/08/07,71,28.16,58,38.98,Summer,189,Jul,7,1997
chic,1997/09/07,62,26.42,50.75,14.96,Summer,190,Jul,7,1997
chic,1997/10/07,64.5,23.32,51,26.06,Summer,191,Jul,7,1997
chic,1997/11/07,68.5,32.43,59.13,41.06,Summer,192,Jul,7,1997
chic,1997/12/07,74.5,46.69,63.5,58.1,Summer,193,Jul,7,1997
chic,7/13/1997,82.5,37.23,71.75,58.14,Summer,194,Jul,7,1997
chic,7/14/1997,83,26.19,62.38,41.12,Summer,195,Jul,7,1997
chic,7/15/1997,79,22.94,64.25,28.35,Summer,196,Jul,7,1997
chic,7/16/1997,82.5,30.36,59.88,39.18,Summer,197,Jul,7,1997
chic,7/17/1997,84,42,68.63,58.19,Summer,198,Jul,7,1997
chic,7/18/1997,79,19.02,69.13,55.12,Summer,199,Jul,7,1997
chic,7/19/1997,74.5,28.46,60.63,21.17,Summer,200,Jul,7,1997
chic,7/20/1997,76.5,34.59,71.63,38.17,Summer,201,Jul,7,1997
chic,7/21/1997,72,29.58,65.13,26.74,Summer,202,Jul,7,1997
chic,7/22/1997,69,26.29,64.38,21.06,Summer,203,Jul,7,1997
chic,7/23/1997,69,29.62,59.75,25.05,Summer,204,Jul,7,1997
chic,7/24/1997,72.5,37,64.75,43.14,Summer,205,Jul,7,1997
chic,7/25/1997,76,35.52,75.75,78.24,Summer,206,Jul,7,1997
chic,7/26/1997,85.5,41.67,73.38,58.21,Summer,207,Jul,7,1997
chic,7/27/1997,81.5,25.69,73.75,35.02,Summer,208,Jul,7,1997
chic,7/28/1997,74.5,19.17,57.38,16.16,Summer,209,Jul,7,1997
chic,7/29/1997,66.5,18.64,50.88,5.15,Summer,210,Jul,7,1997
chic,7/30/1997,68.5,19.59,52.38,14.1,Summer,211,Jul,7,1997
chic,7/31/1997,69,23.83,56.25,36.17,Summer,212,Jul,7,1997
chic,1997/01/08,74.5,39.65,58.88,70.26,Summer,213,Aug,8,1997
chic,1997/02/08,81.5,42.1,59.38,47.41,Summer,214,Aug,8,1997
chic,1997/03/08,78,35.47,66.5,34.25,Summer,215,Aug,8,1997
chic,1997/04/08,71,19.8,57.75,13.3,Summer,216,Aug,8,1997
chic,1997/05/08,62.5,18.2,45.88,9.57,Summer,217,Aug,8,1997
chic,1997/06/08,64.5,13.84,54,28.23,Summer,218,Aug,8,1997
chic,1997/07/08,67,24.37,55.5,45.26,Summer,219,Aug,8,1997
chic,1997/08/08,69.5,33.02,52.88,45.73,Summer,220,Aug,8,1997
chic,1997/09/08,70.5,24.2,66,41.3,Summer,221,Aug,8,1997
chic,1997/10/08,75.5,23.54,65.5,42.28,Summer,222,Aug,8,1997
chic,1997/11/08,67.5,14.08,62.13,12.1,Summer,223,Aug,8,1997
chic,1997/12/08,69.5,4.02,67.88,26.57,Summer,224,Aug,8,1997
chic,8/13/1997,68.5,16.35,58.75,17.56,Summer,225,Aug,8,1997
chic,8/14/1997,65.5,18.41,63.13,28.23,Summer,226,Aug,8,1997
chic,8/15/1997,77,19.54,70,38.55,Summer,227,Aug,8,1997
chic,8/16/1997,80,30.21,69.88,36.57,Summer,228,Aug,8,1997
chic,8/17/1997,68.5,20.56,64,NA,Summer,229,Aug,8,1997
chic,8/18/1997,63.5,15.74,54.38,4.53,Summer,230,Aug,8,1997
chic,8/19/1997,64,14.42,60,24.61,Summer,231,Aug,8,1997
chic,8/20/1997,67,13.59,59.38,28.25,Summer,232,Aug,8,1997
chic,8/21/1997,63.5,16.27,52.88,11.61,Summer,233,Aug,8,1997
chic,8/22/1997,64,10.49,54.88,20.65,Summer,234,Aug,8,1997
chic,8/23/1997,65.5,15.65,57.75,25.12,Summer,235,Aug,8,1997
chic,8/24/1997,70.5,26.38,62.75,18.25,Summer,236,Aug,8,1997
chic,8/25/1997,65.5,25.59,59.5,24.2,Summer,237,Aug,8,1997
chic,8/26/1997,69,16.19,68.75,45.41,Summer,238,Aug,8,1997
chic,8/27/1997,77,14.07,67.5,47.16,Summer,239,Aug,8,1997
chic,8/28/1997,68.5,17.52,58.13,14.16,Summer,240,Aug,8,1997
chic,8/29/1997,67,16.2,58.88,25.4,Summer,241,Aug,8,1997
chic,8/30/1997,65,16.31,68.13,40.25,Summer,242,Aug,8,1997
chic,8/31/1997,72,26.52,62.13,17.32,Summer,243,Aug,8,1997
chic,1997/01/09,70.5,24.37,65.88,29.7,Summer,244,Sep,9,1997
chic,1997/02/09,68,10.79,51.75,34.35,Summer,245,Sep,9,1997
chic,1997/03/09,58.5,15.17,47.13,4.39,Summer,246,Sep,9,1997
chic,1997/04/09,59,13.72,44.88,28.45,Summer,247,Sep,9,1997
chic,1997/05/09,60.5,14.12,51,54.49,Summer,248,Sep,9,1997
chic,1997/06/09,74.5,30.04,64.75,39.5,Summer,249,Sep,9,1997
chic,1997/07/09,66,21.22,60.13,20.35,Summer,250,Sep,9,1997
chic,1997/08/09,67.5,16.88,62.88,20.54,Summer,251,Sep,9,1997
chic,1997/09/09,68.5,18.36,60.38,30.58,Summer,252,Sep,9,1997
chic,1997/10/09,64.5,12.46,55.38,13.98,Summer,253,Sep,9,1997
chic,1997/11/09,61.5,6.79,53.75,20.09,Summer,254,Sep,9,1997
chic,1997/12/09,61.5,10.39,52.75,28.02,Summer,255,Sep,9,1997
chic,9/13/1997,63.5,18.22,58.63,41.32,Summer,256,Sep,9,1997
chic,9/14/1997,69,31.2,62.38,48.04,Summer,257,Sep,9,1997
chic,9/15/1997,69.5,32.22,65.38,80.03,Summer,258,Sep,9,1997
chic,9/16/1997,74.5,36.33,68.88,81.07,Summer,259,Sep,9,1997
chic,9/17/1997,70,13.7,50.88,19.22,Summer,260,Sep,9,1997
chic,9/18/1997,69,19.05,50.38,94.28,Summer,261,Sep,9,1997
chic,9/19/1997,73,21.45,67.88,35.3,Summer,262,Sep,9,1997
chic,9/20/1997,58.5,13.77,48.5,7.53,Summer,263,Sep,9,1997
chic,9/21/1997,57,8.28,46.13,11.57,Summer,264,Sep,9,1997
chic,9/22/1997,57.5,4.05,51.88,34.9,Summer,265,Sep,9,1997
chic,9/23/1997,59,9.71,46.38,14.93,Summer,266,Sep,9,1997
chic,9/24/1997,56.5,7.51,47.38,29.9,Summer,267,Sep,9,1997
chic,9/25/1997,66,14.74,55.13,28.38,Summer,268,Sep,9,1997
chic,9/26/1997,60,14.18,51.13,19.58,Summer,269,Sep,9,1997
chic,9/27/1997,62.5,17.04,54.13,29.67,Summer,270,Sep,9,1997
chic,9/28/1997,64,13.63,48,22.83,Summer,271,Sep,9,1997
chic,9/29/1997,65,15.96,44.13,56.58,Summer,272,Sep,9,1997
chic,9/30/1997,59.5,8.79,47,17.57,Summer,273,Sep,9,1997
chic,1997/01/10,52,14.17,42.5,18.31,Autumn,274,Oct,10,1997
chic,1997/02/10,61,12.85,51.88,75.85,Autumn,275,Oct,10,1997
chic,1997/03/10,73,28.5,60.75,87.94,Autumn,276,Oct,10,1997
chic,1997/04/10,68,17.99,55.75,44.24,Autumn,277,Oct,10,1997
chic,1997/05/10,70,27.44,54.88,50.92,Autumn,278,Oct,10,1997
chic,1997/06/10,70.5,19.7,56.38,85.93,Autumn,279,Oct,10,1997
chic,1997/07/10,73.5,17.62,58.88,54.19,Autumn,280,Oct,10,1997
chic,1997/08/10,72.5,29.72,60.38,71.85,Autumn,281,Oct,10,1997
chic,1997/09/10,64,15.05,44.75,39.88,Autumn,282,Oct,10,1997
chic,1997/10/10,59,8.03,47.25,42.09,Autumn,283,Oct,10,1997
chic,1997/11/10,61.5,16.92,44.25,27.04,Autumn,284,Oct,10,1997
chic,1997/12/10,70,29.92,56.13,33.98,Autumn,285,Oct,10,1997
chic,10/13/1997,59.5,12.44,39.38,20.6,Autumn,286,Oct,10,1997
chic,10/14/1997,42.5,7.68,30.25,15.97,Autumn,287,Oct,10,1997
chic,10/15/1997,42.5,3.28,36.75,42.06,Autumn,288,Oct,10,1997
chic,10/16/1997,47.5,7.98,38.5,45.19,Autumn,289,Oct,10,1997
chic,10/17/1997,45.5,6.1,39.25,44.98,Autumn,290,Oct,10,1997
chic,10/18/1997,44.5,6.38,36.38,49.99,Autumn,291,Oct,10,1997
chic,10/19/1997,50,13.7,45.25,36.05,Autumn,292,Oct,10,1997
chic,10/20/1997,45.5,5.9,32.63,15.99,Autumn,293,Oct,10,1997
chic,10/21/1997,42.5,9.55,20.63,15.97,Autumn,294,Oct,10,1997
chic,10/22/1997,36,11.7,23.5,26.38,Autumn,295,Oct,10,1997
chic,10/23/1997,44.5,2.98,31.25,47.54,Autumn,296,Oct,10,1997
chic,10/24/1997,46,0.09,44.38,35.44,Autumn,297,Oct,10,1997
chic,10/25/1997,47,14.76,37.88,22.03,Autumn,298,Oct,10,1997
chic,10/26/1997,40,21.23,36,4.44,Autumn,299,Oct,10,1997
chic,10/27/1997,32.5,11.21,25.57,12.49,Autumn,300,Oct,10,1997
chic,10/28/1997,39,4.55,36.13,40.24,Autumn,301,Oct,10,1997
chic,10/29/1997,44,2.43,36,49.59,Autumn,302,Oct,10,1997
chic,10/30/1997,51,11,50.25,60.63,Autumn,303,Oct,10,1997
chic,10/31/1997,59.5,11.13,52.5,37.54,Autumn,304,Oct,10,1997
chic,1997/01/11,50,8.28,36.13,14.6,Autumn,305,Nov,11,1997
chic,1997/02/11,38.5,9.84,30.13,3.59,Autumn,306,Nov,11,1997
chic,1997/03/11,36.5,1.57,34.13,17.64,Autumn,307,Nov,11,1997
chic,1997/04/11,39,0.95,35.25,19.95,Autumn,308,Nov,11,1997
chic,1997/05/11,40,3.91,40.5,29.92,Autumn,309,Nov,11,1997
chic,1997/06/11,45,6.82,39.88,22.14,Autumn,310,Nov,11,1997
chic,1997/07/11,43,17.82,35.25,11.98,Autumn,311,Nov,11,1997
chic,1997/08/11,44,14.07,34.13,17.99,Autumn,312,Nov,11,1997
chic,1997/09/11,42.5,8.69,34.88,20.96,Autumn,313,Nov,11,1997
chic,1997/10/11,36.5,9.43,22.13,14.76,Autumn,314,Nov,11,1997
chic,1997/11/11,28.5,6.33,18.25,18.7,Autumn,315,Nov,11,1997
chic,1997/12/11,26.5,7.31,16.75,29.42,Autumn,316,Nov,11,1997
chic,11/13/1997,31.5,8.29,22.25,33.62,Autumn,317,Nov,11,1997
chic,11/14/1997,36,16.12,31.25,14.35,Autumn,318,Nov,11,1997
chic,11/15/1997,29,8.69,24.38,12.16,Autumn,319,Nov,11,1997
chic,11/16/1997,22,14.94,14,7.19,Autumn,320,Nov,11,1997
chic,11/17/1997,25.5,6.96,24,46.01,Autumn,321,Nov,11,1997
chic,11/18/1997,32,6.57,25.13,37.6,Autumn,322,Nov,11,1997
chic,11/19/1997,27.5,4.49,22.63,38.79,Autumn,323,Nov,11,1997
chic,11/20/1997,33.5,3.39,37.5,58.74,Autumn,324,Nov,11,1997
chic,11/21/1997,35.5,19.42,29.63,15.81,Autumn,325,Nov,11,1997
chic,11/22/1997,34.5,10.62,25.63,31.78,Autumn,326,Nov,11,1997
chic,11/23/1997,26,12.32,20.75,12.89,Autumn,327,Nov,11,1997
chic,11/24/1997,26.5,7.09,17.13,32.09,Autumn,328,Nov,11,1997
chic,11/25/1997,47,9.8,41.25,53.83,Autumn,329,Nov,11,1997
chic,11/26/1997,43,9.03,23.63,33.73,Autumn,330,Nov,11,1997
chic,11/27/1997,37.5,7.28,39,27.51,Autumn,331,Nov,11,1997
chic,11/28/1997,49,5,45.25,26.46,Autumn,332,Nov,11,1997
chic,11/29/1997,45.5,5.48,47.13,47.38,Autumn,333,Nov,11,1997
chic,11/30/1997,42,15.48,31.88,16.48,Autumn,334,Nov,11,1997
chic,1997/01/12,37,21.89,31.13,2.33,Autumn,335,Dec,12,1997
chic,1997/02/12,36.5,9.03,30,28.29,Autumn,336,Dec,12,1997
chic,1997/03/12,36.5,2.98,32.75,27.46,Autumn,337,Dec,12,1997
chic,1997/04/12,32,6.67,21.38,10.36,Autumn,338,Dec,12,1997
chic,1997/05/12,26,5.71,17.38,17.47,Autumn,339,Dec,12,1997
chic,1997/06/12,28.5,8.99,25.75,19.83,Autumn,340,Dec,12,1997
chic,1997/07/12,30,9.58,27,12.59,Autumn,341,Dec,12,1997
chic,1997/08/12,28.5,6.16,26.88,26.54,Autumn,342,Dec,12,1997
chic,1997/09/12,33,3.33,30.63,36.52,Autumn,343,Dec,12,1997
chic,1997/10/12,34.5,13.86,31,7.69,Autumn,344,Dec,12,1997
chic,1997/11/12,33.5,17.91,25,9.75,Autumn,345,Dec,12,1997
chic,1997/12/12,27.5,10.49,21.25,25.08,Autumn,346,Dec,12,1997
chic,12/13/1997,26.5,6.91,22.25,22.93,Autumn,347,Dec,12,1997
chic,12/14/1997,31,5.32,25.88,31.88,Autumn,348,Dec,12,1997
chic,12/15/1997,37.5,4.51,30.88,48.89,Autumn,349,Dec,12,1997
chic,12/16/1997,39,5.06,30,52.99,Autumn,350,Dec,12,1997
